MVNAME,OBO,WD,UA_0.5W_T,UA_0.5W_M24,UA_0.5W_M26,UA_0.5W_F24,UA_0.5W_F26,TA_0.5W_T,TA_0.5W_M24,TA_0.5W_M26,TA_0.5W_F24,TA_0.5W_F26,DI_0.5W_T,DI_0.5W_M24,DI_0.5W_M26,DI_0.5W_F24,DI_0.5W_F26,FC_0.5W_T,FC_0.5W_M24,FC_0.5W_M26,FC_0.5W_F24,FC_0.5W_F26,FCO_0.5W_T,FCO_0.5W_M24,FCO_0.5W_M26,FCO_0.5W_F24,FCO_0.5W_F26,NM_0.5W_T,NM_0.5W_M24,NM_0.5W_M26,NM_0.5W_F24,NM_0.5W_F26,Year,MVID,GENRE1,GENRE2,STUDIO,RATING,DATE,MONTH,WKNDDAY,WKNM,WKNDGRS,WKGRS,SCRNS,PER_SCN,RANK,HOLIDAY,PERCENT,GRS,WW_GRS
'TIL DEATH DO US PART,1.5,3,4,2,3,6,5,44,40,45,46,45,31,30,29,34,33,1,2,1,1,2,5,4,4,3,8,0,0,0,0,1,2017,70649,SUSPNS/THRILLER,AF.AM.,NOVUS CONTENT,PG-13,9/28/2017 1:00,9,3,1,1521803,1906629,562,2708,9,NA,NA,3371293,NA
TOP FIVE,6.9,3,13,15,14,12,13,55,55,61,47,56,36,36,35,33,40,5,6,6,2,5,9,10,13,5,10,NA,NA,NA,NA,NA,2014,49530,HUMN INTST CMDY,ENTERTAINMENT SETTING,PARAMOUNT,R,12/12/2014 0:00,12,3,1,6894814,8887293,979,7043,4,NA,NA,25305352,NA
TRAINWRECK,30.1,3,25,21,22,28,27,68,57,70,71,74,32,26,30,33,40,7,4,5,10,10,11,7,9,13,18,4,2,2,6,6,2015,47001,ROMANTIC COMEDY,WOMEN'S ISSUES,UNIVERSAL,R,7/17/2015 1:00,7,3,1,30097040,44245025,3158,9530,3,NA,NA,110008260,NA
TRANSCENDENCE,10.9,3,16,16,17,14,17,77,76,83,70,80,38,36,41,39,36,8,6,9,7,9,15,14,18,15,12,NA,NA,NA,NA,NA,2014,44561,SUSPNS/THRILLER,SCIENCE FICTION,WARNER BROS.,PG-13,4/18/2014 1:00,4,3,1,10886386,14366966,3455,3151,4,EASTER,NA,23014504,NA
TRANSFORMERS: AGE OF EXTINCTION,100,3,39,43,39,33,40,96,99,97,94,96,53,62,59,41,49,21,30,27,11,14,33,41,47,19,26,NA,NA,NA,NA,NA,2014,41901,ACTION ADVENTURE,SCIENCE FICTION,PARAMOUNT,PG-13,6/27/2014 1:00,6,3,1,100038390,138345769,4233,23633,1,NA,NA,245428137,NA
TRANSFORMERS: THE LAST KNIGHT,44.7,3,43,42,40,41,46,95,93,96,92,97,43,53,43,40,41,11,13,11,10,11,24,33,28,18,18,9,12,9,6,8,2017,63813,ACTION ADVENTURE,SCIENCE FICTION,PARAMOUNT,PG-13,6/21/2017 1:00,6,3,1,44680073,85103351,4069,10981,1,NA,NA,130104634,NA
TRIPLE 9,6.1,3,9,10,10,7,7,47,49,55,39,44,33,32,34,30,37,2,1,5,1,1,5,4,9,5,4,0,0,0,0,0,2016,49318,ACTION DRAMA,CRIME THEME,OPEN ROAD FILMS,R,2/26/2016 0:00,2,3,1,6109085,8111034,2205,2771,5,NA,NA,12626905,NA
TROLLS,46.6,3,40,36,33,46,45,90,85,85,96,95,44,41,35,52,47,10,6,7,12,17,24,19,13,33,29,10,7,6,13,14,2016,43321,FAMILY,ANIMATED,20TH CENTURY FOX,PG,11/4/2016 1:00,11,3,1,46581142,58964315,4060,11473,2,NA,NA,153694574,NA
TURBO,21.3,3,28,30,22,28,32,77,78,75,79,77,33,35,26,30,41,4,3,3,3,5,8,5,7,7,13,NA,NA,NA,NA,NA,2013,40516,FAMILY,ANIMATED,20TH CENTURY FOX,PG,7/17/2013 1:00,7,3,1,21312625,42442998,3806,5600,3,NA,NA,83024900,NA
TYLER PERRY PRESENTS PEEPLES,4.6,3,7,6,7,8,9,51,46,48,53,57,23,20,18,28,28,4,2,3,5,4,11,6,10,14,13,NA,NA,NA,NA,NA,2013,38190,HUMN INTST CMDY,AF.AM.,LIONS GATE FILMS,PG-13,5/10/2013 1:00,5,3,1,4611534,5707777,2041,2259,4,NA,NA,9123834,NA
TYLER PERRY'S A MADEA CHRISTMAS,16,3,15,12,12,17,20,71,65,66,75,78,34,36,24,39,34,11,12,6,15,14,17,15,12,19,21,NA,NA,NA,NA,NA,2013,43757,ZANY COMEDY,ABOUT FAMILY,LIONS GATE FILMS,PG-13,12/13/2013 0:00,12,3,1,16007634,19770277,2194,7296,3,NA,NA,52528330,NA
TYLER PERRY'S BOO 2! A MADEA HALLOWEEN,21.2,3,18,20,11,26,20,82,81,79,87,84,37,45,30,47,34,9,9,7,12,9,17,16,11,30,18,6,6,3,9,7,2017,70364,ZANY COMEDY,AF.AM.,LIONS GATE FILMS,PG-13,10/20/2017 1:00,10,3,1,21226953,25521643,2388,8889,1,NA,NA,47291670,NA
TYLER PERRY'S TEMPTATION,21.6,3,10,8,9,12,12,57,51,49,58,69,36,28,28,44,38,9,3,7,11,14,9,5,7,12,14,NA,NA,NA,NA,NA,2013,41256,ROMANTIC DRAMA,WEDDING/MARRIAGE,LIONS GATE FILMS,PG-13,3/29/2013 1:00,3,3,1,21641679,28383341,2047,10572,3,EASTER,NA,51954524,NA
TYLER PERRY'S THE SINGLE MOMS CLUB,8.1,3,10,9,7,12,13,61,56,55,66,69,29,21,20,36,35,7,3,2,12,9,13,6,7,18,20,NA,NA,NA,NA,NA,2014,43756,HUMN INTST CMDY,ENSEMBLE CAST,LIONS GATE FILMS,PG-13,3/14/2014 1:00,3,3,1,8075111,9810024,1896,4259,5,NA,NA,15973881,NA
UNBROKEN,30.6,3,19,17,19,19,23,70,65,74,64,76,39,37,44,33,40,8,7,11,3,9,9,8,14,5,10,NA,NA,NA,NA,NA,2014,45606,HUMN INTST DRMA,BIOGRAPHICAL,UNIVERSAL,PG-13,12/25/2014 0:00,12,3,1,30621445,69481655,3131,9780,3,CHRISTMAS,NA,115603980,NA
UNDERWORLD: BLOOD WARS,13.7,3,15,14,18,13,16,71,73,82,67,62,44,50,45,39,39,7,9,11,4,5,15,17,22,10,12,3,1,4,2,4,2017,63811,HORROR,VAMPIRE,SONY SCREEN GEMS,R,1/6/2017 0:00,1,3,1,13688751,18116118,3070,4459,4,NA,NA,30348260,NA
UNFINISHED BUSINESS,4.8,3,10,10,12,12,9,62,64,66,58,59,36,41,36,38,29,3,5,3,3,2,9,8,7,11,9,NA,NA,NA,NA,NA,2015,46619,HUMN INTST CMDY,ROAD FILM,20TH CENTURY FOX,R,3/6/2015 0:00,3,3,1,4772613,6377755,2777,1719,10,NA,NA,10214013,NA
UNFORGETTABLE (2017),4.8,3,9,6,7,10,14,58,48,55,53,69,29,30,24,37,29,3,1,1,5,6,6,2,5,9,8,2,1,0,1,4,2017,64770,SUSPNS/THRILLER,PSYCHOLOGICAL,WARNER BROS.,R,4/21/2017 1:00,4,3,1,4785431,6538819,2417,1980,7,NA,NA,11355353,NA
UNFRIENDED,15.8,3,19,17,15,27,15,67,70,62,77,59,33,35,28,39,29,6,6,3,11,5,14,14,12,21,10,NA,NA,NA,NA,NA,2015,49331,HORROR,SUPERNATURAL,UNIVERSAL,R,4/17/2015 1:00,4,3,1,15845115,18913765,2739,5785,3,NA,NA,32439070,NA
VACATION (2015),14.7,3,24,21,22,27,26,79,73,80,80,81,41,38,44,41,41,8,5,10,7,10,14,12,14,13,15,4,4,4,4,5,2015,48317,HUMN INTST CMDY,ABOUT FAMILY,WARNER BROS.,R,7/29/2015 1:00,7,3,1,14681108,28179780,3411,4304,2,NA,NA,58879132,NA
VALERIAN AND THE CITY OF A THOUSAND PLANETS,17,3,16,16,18,17,14,62,62,68,57,58,39,42,40,41,35,7,5,7,6,7,11,12,12,9,12,5,4,5,3,5,2017,63624,ACTION ADVENTURE,SCIENCE FICTION,STX ENTERTAINMENT,PG-13,7/21/2017 1:00,7,3,1,17007624,23826147,3553,4787,5,NA,NA,40442321,NA
VAMPIRE ACADEMY,3.9,3,12,14,10,15,11,66,66,63,76,59,26,26,21,34,20,5,2,1,12,2,11,12,7,18,5,NA,NA,NA,NA,NA,2014,44433,ACTION COMEDY,FANTASY,THE WEINSTEIN COMPANY,PG-13,2/7/2014 0:00,2,3,1,3921742,4751999,2676,1466,7,NA,NA,7791146,NA
VICTOR FRANKENSTEIN,2.5,3,8,8,8,9,7,67,70,73,62,63,39,42,34,41,39,3,5,3,3,3,5,6,7,4,5,0,0,0,0,0,2015,45333,SUSPNS/THRILLER,PERIOD,20TH CENTURY FOX,PG-13,11/25/2015 0:00,11,3,1,2469341,4361904,2797,883,12,THANKSGIVING,NA,5773519,NA
WALKING WITH DINOSAURS 3D,7.1,3,13,12,13,12,14,69,67,70,73,68,30,30,30,27,35,4,3,4,2,4,7,6,9,6,11,NA,NA,NA,NA,NA,2013,40554,FAMILY,ANIMATED,20TH CENTURY FOX,PG,12/20/2013 0:00,12,3,1,7091938,13668306,3231,2195,8,NA,NA,36073232,NA
WAR DOGS (2016),14.7,3,20,21,21,17,19,73,75,82,69,65,38,50,37,34,31,8,13,7,6,5,10,17,11,8,7,3,4,4,3,2,2016,63632,HUMN INTST CMDY,CRIME THEME,WARNER BROS.,R,8/19/2016 1:00,8,3,1,14685305,20502687,3258,4507,3,NA,NA,43017433,NA
WAR FOR THE PLANET OF THE APES,56.3,3,31,32,35,24,31,95,95,95,90,96,47,59,55,35,37,14,18,18,7,11,27,28,36,14,21,9,10,10,6,8,2017,47093,ACTION DRAMA,SCIENCE FICTION,20TH CENTURY FOX,PG-13,7/14/2017 1:00,7,3,1,56262929,77350914,4022,13989,1,NA,NA,146878766,NA
WAR ROOM,11.4,3,8,8,8,8,8,40,37,48,31,43,30,29,32,31,27,3,2,2,3,4,5,3,6,5,7,2,1,2,1,2,2015,62532,HUMN INTST DRMA,WEDDING/MARRIAGE,TRISTAR PICTURES,PG,8/28/2015 1:00,8,3,1,11351389,15313458,1135,10001,2,NA,NA,67790117,NA
WARCRAFT,24.2,3,19,22,20,17,18,76,87,81,68,67,38,46,42,28,30,6,8,7,4,4,12,19,14,8,8,6,11,7,4,5,2016,46184,ACTION ADVENTURE,FANTASY,UNIVERSAL,PG-13,6/10/2016 1:00,6,3,1,24166110,31191525,3400,7108,2,NA,NA,47167650,NA
WARM BODIES,20.4,3,19,19,14,26,17,62,62,57,74,55,44,45,35,53,39,10,9,5,15,8,19,16,12,30,17,NA,NA,NA,NA,NA,2013,39421,ROMANTIC DRAMA,SUPERNATURAL,LIONS GATE FILMS,PG-13,2/1/2013 0:00,2,3,1,20353967,25125082,3009,6764,1,SUPERBOWL,NA,66359959,NA
WE ARE YOUR FRIENDS,1.8,3,10,10,9,14,9,61,62,54,72,56,31,30,27,37,28,5,5,4,8,4,10,8,7,18,8,2,2,0,2,2,2015,49923,HUMN INTST DRMA,MUSIC-THEMED,WARNER BROS.,R,8/28/2015 1:00,8,3,1,1767308,2519430,2333,758,14,NA,NA,3590010,NA
WE'RE THE MILLERS,26.4,3,25,22,25,29,23,84,83,80,88,86,42,41,38,47,43,14,12,11,20,15,18,16,18,24,18,NA,NA,NA,NA,NA,2013,42955,HUMN INTST CMDY,CRIME THEME,WARNER BROS.,R,8/7/2013 1:00,8,3,1,26419396,51733485,3260,8104,2,NA,NA,150368971,NA
WHEN THE BOUGH BREAKS,14.2,3,12,10,10,13,14,56,56,51,54,61,38,36,32,39,45,5,3,3,5,9,12,8,8,14,16,3,1,2,3,5,2016,63230,SUSPNS/THRILLER,PSYCHOLOGICAL,SONY SCREEN GEMS,PG-13,9/9/2016 1:00,9,3,1,14202323,17172732,2246,6323,2,NA,NA,29740655,NA
WHEN THE GAME STANDS TALL,8.4,3,5,6,5,4,5,47,49,56,40,44,32,35,31,26,36,4,3,4,5,6,6,4,7,5,7,NA,NA,NA,NA,NA,2014,45004,HUMN INTST DRMA,SPORTS,SONY PICTURES,PG,8/22/2014 1:00,8,3,1,8381509,10670092,2673,3136,5,NA,NA,30127963,NA
WHISKEY TANGO FOXTROT,7.4,3,14,12,15,12,17,65,58,72,58,73,34,26,37,32,37,7,4,9,6,11,11,8,11,11,15,1,1,2,1,2,2016,64522,HUMN INTST CMDY,WAR,PARAMOUNT,R,3/4/2016 0:00,3,3,1,7443007,9971903,2374,3135,4,NA,NA,23049575,NA
WHITE HOUSE DOWN,24.9,3,18,19,19,16,20,80,79,86,76,81,42,38,40,43,48,8,6,9,8,9,16,13,20,14,18,NA,NA,NA,NA,NA,2013,42336,ACTION DRAMA,ESPIONAGE,SONY PICTURES,PG-13,6/28/2013 1:00,6,3,1,24852258,37006763,3222,7713,4,NA,NA,73103784,NA
WHY HIM?,15.5,4,18,18,15,18,20,67,66,68,65,68,39,35,38,42,42,6,7,4,6,7,6,7,5,5,7,3,3,2,3,4,2016,64959,HUMN INTST CMDY,ABOUT FAMILY,20TH CENTURY FOX,R,12/23/2016 0:00,12,4,1,15536420,24558587,2917,5326,4,CHRISTMAS,NA,60312925,NA
WILD (2014),4.1,3,5,4,4,4,6,45,34,45,40,61,29,26,32,33,27,2,1,2,3,4,4,1,4,3,7,NA,NA,NA,NA,NA,2014,46118,HUMN INTST DRMA,ROAD FILM,FOX SEARCHLIGHT PICTURES,R,12/19/2014 0:00,12,3,3,4113752,7884779,1061,3877,6,NA,169,37877959,NA
WINTER'S TALE,8,4,14,10,10,19,17,63,50,62,68,73,33,25,28,37,38,7,2,1,9,13,9,3,4,12,15,NA,NA,NA,NA,NA,2014,43752,ROMANTIC DRAMA,CRIME THEME,WARNER BROS.,PG-13,2/14/2014 0:00,2,4,1,8007059,9093901,2965,2701,8,PRESIDENT'S DAY,NA,12591660,NA
WISH UPON,5.5,3,7,7,7,11,7,42,41,43,44,40,29,30,26,36,30,2,2,1,4,3,5,5,2,7,6,1,1,0,2,1,2017,68391,HORROR,SUPERNATURAL,BROAD GREEN PICTURES,PG-13,7/14/2017 1:00,7,3,1,5467084,8044265,2250,2430,7,NA,NA,14301001,NA
WONDER,27.5,3,19,17,14,21,26,66,64,63,61,74,39,30,30,47,49,7,4,4,8,13,9,6,5,12,15,4,3,1,5,6,2017,67619,HUMN INTST DRMA,AFFLICTION/HANDICAP,LIONS GATE FILMS,PG,11/17/2017 0:00,11,3,1,27547866,47133059,3096,8898,2,NA,0,130563198,NA
WONDER WOMAN,103.3,3,50,46,50,51,53,96,92,96,95,98,57,52,60,57,57,20,13,23,19,20,33,21,37,31,37,22,20,25,20,22,2017,49170,ACTION ADVENTURE,SUPERHERO,WARNER BROS.,PG-13,6/2/2017 1:00,6,3,1,103251471,147822503,4165,24790,1,NA,NA,412560385,NA
WOODLAWN,4,3,2,2,1,4,2,28,29,31,28,23,29,28,27,31,29,2,2,2,2,3,2,2,2,2,2,0,0,0,0,0,2015,63161,HUMN INTST DRMA,ACADEMIC SETTING,PURE FLIX ENTERTAINMENT,PG,10/16/2015 1:00,10,3,1,4002226,5374648,1553,2577,9,NA,NA,14393862,NA
WORLD WAR Z,66.4,3,27,26,29,25,28,92,94,99,88,88,45,48,51,39,41,16,19,22,12,13,24,26,34,16,19,NA,NA,NA,NA,NA,2013,40584,ACTION DRAMA,ZOMBIE,PARAMOUNT,PG-13,6/21/2013 1:00,6,3,1,66411834,93922294,3607,18412,2,NA,NA,202351611,NA
X-MEN: APOCALYPSE,79.8,4,40,42,43,33,40,93,96,96,92,88,62,69,67,52,62,20,23,30,12,15,29,34,41,19,26,16,18,24,7,15,2016,46794,ACTION ADVENTURE,SCIENCE FICTION,20TH CENTURY FOX,PG-13,5/27/2016 1:00,5,4,1,79810133,94173232,4150,19231,1,MEMORIAL DAY,NA,155333829,NA
X-MEN: DAYS OF FUTURE PAST,110.6,4,37,39,43,31,36,95,96,97,93,93,64,71,73,52,61,25,29,31,18,22,37,37,46,30,35,NA,NA,NA,NA,NA,2014,42647,ACTION ADVENTURE,SCIENCE FICTION,20TH CENTURY FOX,PG-13,5/23/2014 1:00,5,4,1,110576604,129469103,3996,27672,1,MEMORIAL DAY,NA,233914986,NA
XXX: RETURN OF XANDER CAGE,20.1,3,20,20,24,19,16,74,79,83,62,71,46,54,51,39,39,8,9,14,5,7,17,22,24,12,12,5,5,8,4,4,2017,34503,ACTION ADVENTURE,ESPIONAGE,PARAMOUNT,PG-13,1/20/2017 0:00,1,3,1,20130142,25237750,3651,5514,2,NA,NA,44850317,NA
YOU'RE NEXT,7,3,13,14,13,14,12,47,56,45,49,37,31,30,31,34,28,3,5,2,4,2,7,8,6,9,5,NA,NA,NA,NA,NA,2013,40947,HORROR,CRIME THEME,LIONS GATE FILMS,R,8/23/2013 1:00,8,3,1,7020196,9339708,2437,2881,6,NA,NA,18474268,NA
ZERO DARK THIRTY,24.4,3,17,18,19,14,16,64,68,76,50,62,41,42,47,33,41,10,12,13,4,10,13,14,18,4,15,NA,NA,NA,NA,NA,2013,40517,ACTION DRAMA,REAL EVENTS,SONY PICTURES,R,1/11/2013 0:00,1,3,4,24438936,32863950,2937,8321,1,NA,806,95720716,NA
ZOOLANDER 2,15.9,4,27,27,24,31,28,94,95,92,95,94,44,44,46,46,41,11,11,10,12,11,13,13,12,14,16,5,4,4,7,6,2016,36494,ZANY COMEDY,ENTERTAINMENT SETTING,PARAMOUNT,PG-13,2/12/2016 0:00,2,4,1,15881410,18218011,3394,4679,4,PRESIDENT'S DAY,NA,28837115,NA
ZOOTOPIA,75.1,3,38,33,33,41,44,85,87,81,88,86,50,47,42,51,57,11,8,6,12,19,24,23,17,28,30,10,6,6,11,16,2016,48052,FAMILY,ANIMATED,DISNEY,PG,3/4/2016 0:00,3,3,1,75063401,92615126,3827,19614,1,NA,NA,341264012,NA
